SRA_ID,BioProject,Group,Participant_Type
ERR1655206,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655220,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655231,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655234,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655244,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655224,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655226,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655213,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655217,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655219,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655223,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655225,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655238,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655239,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655208,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655214,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655218,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655227,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655229,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655230,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655233,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655235,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655243,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655232,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655211,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655216,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655228,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655209,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655210,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655212,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655236,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655242,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655221,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655222,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655240,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655241,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655245,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655237,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655215,PRJEB15388,Athlete,Irish Rugby Football team
ERR1655252,PRJEB15388,Control,Sedentary
ERR1655253,PRJEB15388,Control,Sedentary
ERR1655255,PRJEB15388,Control,Sedentary
ERR1655256,PRJEB15388,Control,Sedentary
ERR1655260,PRJEB15388,Control,Sedentary
ERR1655262,PRJEB15388,Control,Sedentary
ERR1655265,PRJEB15388,Control,Sedentary
ERR1655266,PRJEB15388,Control,Sedentary
ERR1655268,PRJEB15388,Control,Sedentary
ERR1655270,PRJEB15388,Control,Sedentary
ERR1655281,PRJEB15388,Control,Sedentary
ERR1655287,PRJEB15388,Control,Sedentary
