intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
9492000,0.010210887310186361,0.7524972253052165,0.010210887310186361,0.004106858076944333,2.278128950695322,2.0,3.513710122554777,/tmp/nxf.XXXXIO8Igf/sourmash_database/host_genomes.k31.zip,GCA_000743755.1,e3044a9f4a2d95c79fe9e30116103b88,0.7524972253052165,9492000,0,413809000,ERR321626_2.fastq.gz,ERR321626,bc908cce,929596000,31,DNA,1000,929596,True,0.8625340356946246,0.9908691044040283,0.9267015700493264,0.9908691044040283,False,21624,21624,5265339,Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 4
6843000,0.007361262311799965,0.18440767489490137,0.007361262311799965,0.012817218416516011,9.862194943738126,5.0,40.41693608820251,/tmp/nxf.XXXXIO8Igf/sourmash_database/genbank-2022.03-protozoa-k31.zip,"GCA_002893375.1 Cyclospora cayetanensis strain=CDC:HCVA02:15, ASM289337v1",36afcda97fb9363bad092574480b3d01,0.18440767489490137,6843000,1,406966000,ERR321626_2.fastq.gz,ERR321626,bc908cce,929596000,31,DNA,1000,929596,True,0.8534773684531232,0.9469247138001515,0.9002010411266373,0.9469247138001515,False,67487,89111,5265339,Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Cyclospora;Cyclospora cayetanensis
4484000,0.004823600790020611,0.7874773139745916,0.00466761905171709,0.0052921568772684915,6.421986632864716,5.0,54.01601160465237,/tmp/nxf.XXXXIO8Igf/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",f906f0ea3324bc6db880a742f3f0b0ba,0.8137931034482758,4339000,2,402627000,ERR321626_2.fastq.gz,ERR321626,bc908cce,929596000,31,DNA,1000,929596,True,0.8419184828366495,0.9933752950138552,0.9176468889252524,0.9933752950138552,False,27865,116976,5265339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
3788000,0.00407488844616371,0.6229205175600739,0.003987753819938984,0.0013871851366075384,1.970326409495549,2.0,1.5656427093525962,/tmp/nxf.XXXXIO8Igf/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_000172175.1 Bacteroides intestinalis DSM 17393 strain=DSM 17393, ASM17217v1",ddc3bbfa80864ba686c6a00380ae271a,0.6365316753486809,3707000,3,398920000,ERR321626_2.fastq.gz,ERR321626,bc908cce,929596000,31,DNA,1000,929596,True,0.8373498731013074,0.9855340043654718,0.9114419387333896,0.9855340043654718,False,7304,124280,5265339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis
2969000,0.0031938605587803733,0.6937295273748245,0.0031895576142754486,0.0013799681274083207,2.450590219224283,2.0,2.1185769084626793,/tmp/nxf.XXXXIO8Igf/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_000190535.1 Odoribacter splanchnicus DSM 20712 strain=DSM 220712, ASM19053v1",b37a0141517537faad74a6d2ac4d5c41,0.6946654188114179,2965000,4,395955000,ERR321626_2.fastq.gz,ERR321626,bc908cce,929596000,31,DNA,1000,929596,True,0.8307953611742792,0.9883163718187633,0.9095558664965213,0.9883163718187633,False,7266,131546,5265339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus
2917000,0.003137922280216352,0.7161658803079215,0.003102422988050723,0.004703970627532244,8.588072122052704,4.0,22.555007729455493,/tmp/nxf.XXXXIO8Igf/sourmash_database/gtdb-rs214-reps.k31.zip,"GCA_003584705.1 Lachnospiraceae bacterium GAM79 strain=GAM79, ASM358470v1",e70cebeab558f667b40dfb9cb7c5e9f2,0.7243605661782965,2884000,5,393071000,ERR321626_2.fastq.gz,ERR321626,bc908cce,929596000,31,DNA,1000,929596,True,0.8303219560166282,0.9896517862941135,0.9099868711553709,0.9896517862941135,False,24768,156314,5265339,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066565
2831000,0.0030454089733604707,0.6201944321696863,0.0030195913063309223,0.0010757142132728776,2.0178126113288206,2.0,1.8450010807698407,/tmp/nxf.XXXXIO8Igf/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_002222615.2 Bacteroides caccae strain=ATCC 43185, ASM222261v2",47030cb09435e5a03e1ce6a49f0753a5,0.6254971277065842,2807000,6,390264000,ERR321626_2.fastq.gz,ERR321626,bc908cce,929596000,31,DNA,1000,929596,True,0.8295207959024223,0.984978210485025,0.9072495031937237,0.984978210485025,False,5664,161978,5265339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae
2715000,0.002920623582717654,0.7226510513707746,0.002920623582717654,0.00192694145619114,3.737016574585635,3.0,2.0718431429365944,/tmp/nxf.XXXXIO8Igf/sourmash_database/gtdb-rs214-reps.k31.zip,"GCA_900760615.1 Lentisphaeria bacterium, SRS020233_15",4cab160c7b5833d748693e147c656b68,0.7226510513707746,2715000,7,387549000,ERR321626_2.fastq.gz,ERR321626,bc908cce,929596000,31,DNA,1000,929596,True,0.8284020176509703,0.9895763578386378,0.9089891877448041,0.9895763578386378,False,10146,172124,5265339,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__UBA1829;g__UBA1829;s__UBA1829 sp900760615
2686000,0.0028894272350569496,0.6349950641658441,0.002767869052792826,0.003667000358381483,7.5040808394869805,3.0,17.653190557631333,/tmp/nxf.XXXXIO8Igf/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_000174195.1 Roseburia inulinivorans DSM 16841 strain=DSM 16841, ASM17419v1",2297ea50ecdd1c8050ea75a720bbf9de,0.6628825271470878,2573000,8,384976000,ERR321626_2.fastq.gz,ERR321626,bc908cce,929596000,31,DNA,1000,929596,True,0.8281150967253208,0.9868244231517908,0.9074697599385557,0.9868244231517908,False,19308,191432,5265339,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans
2525000,0.0027162337187337294,0.5917973462002413,0.0026387807176450847,0.002097490778846338,4.502242152466367,2.0,13.081718722097538,/tmp/nxf.XXXXIO8Igf/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_020554845.1 Blautia faecis strain=DFI.3.66, ASM2055484v1",928b2d7b80c57c283b973481c1cf1d26,0.609167671893848,2453000,9,382523000,ERR321626_2.fastq.gz,ERR321626,bc908cce,929596000,31,DNA,1000,929596,True,0.8264655328137538,0.984138058979132,0.9053017958964429,0.984138058979132,False,11044,202476,5265339,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis
4118000,0.004429881367819999,0.4872,0.0026204932034991544,0.0032609486302781266,7.048440065681445,3.0,81.45451722314688,/tmp/nxf.XXXXIO8Igf/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",960cc77fc7b96d595712107aaa1524b5,0.8236,2436000,10,380087000,ERR321626_2.fastq.gz,ERR321626,bc908cce,929596000,31,DNA,1000,929596,True,0.8396091529776917,0.9937592226708767,0.9166841878242842,0.9937592226708767,False,17170,219646,5265339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
2444000,0.002629099092509004,0.4955897435897436,0.0025989784809745307,0.000915420640532357,1.9950331125827814,1.0,6.974348114441959,/tmp/nxf.XXXXIO8Igf/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",5feebdfe795727335c87e462e7a7cc14,0.5013333333333333,2416000,11,377671000,ERR321626_2.fastq.gz,ERR321626,bc908cce,929596000,31,DNA,1000,929596,True,0.8255967340939037,0.9779725474276756,0.9017846407607897,0.9779725474276756,False,4820,224466,5265339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
2574000,0.0027689447889190574,0.38301587301587303,0.0025957512725958373,0.0021966296946882243,4.793203481143804,1.0,56.52054337008816,/tmp/nxf.XXXXIO8Igf/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",df098e390010d8add7b59e4ff0574d30,0.4085714285714286,2413000,12,375258000,ERR321626_2.fastq.gz,ERR321626,bc908cce,929596000,31,DNA,1000,929596,True,0.8269781015626501,0.971539042263205,0.8992585719129276,0.971539042263205,False,11566,236032,5265339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron
