intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
9215000,0.01663222301437609,0.7305374980180751,0.01663222301437609,0.009213622313235355,2.229625610417797,2.0,3.678774481120979,/tmp/nxf.XXXXVDqH0S/sourmash_database/host_genomes.k31.zip,GCA_000743755.1,e3044a9f4a2d95c79fe9e30116103b88,0.7305374980180751,9215000,0,262935000,ERR321521_2.fastq.gz,ERR321521,65d4adc4,554045000,31,DNA,1000,554045,True,0.8762162435392945,0.9899229009828061,0.9330695722610503,0.9899229009828061,False,20546,20546,2229959,Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 4
5480000,0.00989089333898871,0.1476770507707233,0.00989089333898871,0.0142782894214647,5.810218978102189,3.0,17.461964023078544,/tmp/nxf.XXXXVDqH0S/sourmash_database/genbank-2022.03-protozoa-k31.zip,"GCA_002893375.1 Cyclospora cayetanensis strain=CDC:HCVA02:15, ASM289337v1",36afcda97fb9363bad092574480b3d01,0.1476770507707233,5480000,1,257455000,ERR321521_2.fastq.gz,ERR321521,65d4adc4,554045000,31,DNA,1000,554045,True,0.8616485827527323,0.9401640605812189,0.9009063216669756,0.9401640605812189,False,31840,52386,2229959,Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Cyclospora;Cyclospora cayetanensis
4408000,0.007956032452237635,0.8732,0.00788022633540597,0.03163107483142067,16.15574896930829,14.0,16.96558243427391,/tmp/nxf.XXXXVDqH0S/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",960cc77fc7b96d595712107aaa1524b5,0.8816,4366000,2,253089000,ERR321521_2.fastq.gz,ERR321521,65d4adc4,554045000,31,DNA,1000,554045,True,0.8556192240563436,0.9959431917959103,0.925781207926127,0.9959431917959103,False,70536,122922,2229959,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
3943000,0.007116750444458483,0.6180952380952381,0.007028309974821539,0.004785738213124098,2.7406266050333845,2.0,4.195897453090029,/tmp/nxf.XXXXVDqH0S/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",df098e390010d8add7b59e4ff0574d30,0.6258730158730159,3894000,3,249195000,ERR321521_2.fastq.gz,ERR321521,65d4adc4,554045000,31,DNA,1000,554045,True,0.8525478543287156,0.9849972989941985,0.9187725766614571,0.9849972989941985,False,10672,133594,2229959,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron
3380000,0.006100587497405445,0.743983497593399,0.005858729886561561,0.007410898586027815,5.091189155884165,4.0,7.62573810877292,/tmp/nxf.XXXXVDqH0S/sourmash_database/gtdb-rs214-reps.k31.zip,"GCA_025151215.1 Parabacteroides merdae ATCC 43184 strain=ATCC 43184, ASM2515121v1",a8c995daf67b413b45a7f31c15f510d6,0.774696309878524,3246000,4,245949000,ERR321521_2.fastq.gz,ERR321521,65d4adc4,554045000,31,DNA,1000,554045,True,0.8483213089022704,0.991798840813429,0.9200600748578497,0.991798840813429,False,16526,150120,2229959,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae
3071000,0.005542871066429622,0.7234345351043643,0.005504968008013789,0.01649985493006822,12.06360655737705,5.0,30.053982362495702,/tmp/nxf.XXXXVDqH0S/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_900537995.1 Roseburia intestinalis L1-82 strain=L1-82, Roseburia intestinalis strain L1-82",e869cf0b15c41500b90acfad5f73aa6d,0.728415559772296,3050000,5,242899000,ERR321521_2.fastq.gz,ERR321521,65d4adc4,554045000,31,DNA,1000,554045,True,0.8457017920289078,0.989830016957989,0.9177659044934484,0.989830016957989,False,36794,186914,2229959,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
3036000,0.005479699302403235,0.9983552631578947,0.005477894394859623,0.016856812165604838,12.385502471169687,12.0,5.09135527665513,/tmp/nxf.XXXXVDqH0S/sourmash_database/gtdb-rs214-reps.k31.zip,"GCA_000437275.1 Clostridium sp. CAG:411, MGS411",1127deefe25770f323216635bb66db18,0.9986842105263158,3035000,6,239864000,ERR321521_2.fastq.gz,ERR321521,65d4adc4,554045000,31,DNA,1000,554045,True,0.8453891479965829,0.9999575281314796,0.9226733380640313,0.9999575281314796,False,37590,224504,2229959,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-411;s__CAG-411 sp000437275
3019000,0.005449015874161846,0.6475916924436589,0.005290184010324071,0.003663744490369554,2.7874445581712726,2.0,2.3212323019107504,/tmp/nxf.XXXXVDqH0S/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_002222615.2 Bacteroides caccae strain=ATCC 43185, ASM222261v2",47030cb09435e5a03e1ce6a49f0753a5,0.6670349094122846,2931000,7,236933000,ERR321521_2.fastq.gz,ERR321521,65d4adc4,554045000,31,DNA,1000,554045,True,0.845236031651825,0.9870232275519502,0.9161296296018876,0.9870232275519502,False,8170,232674,2229959,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae
2629000,0.004745101932153525,0.530051282051282,0.004663881092691027,0.002596460293664592,2.2407120743034055,2.0,1.4205312705017816,/tmp/nxf.XXXXVDqH0S/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",5feebdfe795727335c87e462e7a7cc14,0.5392820512820513,2584000,8,234349000,ERR321521_2.fastq.gz,ERR321521,65d4adc4,554045000,31,DNA,1000,554045,True,0.8414729872181805,0.9802772011575237,0.9108750941878521,0.9802772011575237,False,5790,238464,2229959,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
4345000,0.007842323276990136,0.46225045372050816,0.004597099513577417,0.00751403949579342,6.578720062819003,6.0,4.518555150355259,/tmp/nxf.XXXXVDqH0S/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",f906f0ea3324bc6db880a742f3f0b0ba,0.7885662431941923,2547000,9,231802000,ERR321521_2.fastq.gz,ERR321521,65d4adc4,554045000,31,DNA,1000,554045,True,0.8552219967232493,0.9923667384355308,0.92379436757939,0.9923667384355308,False,16756,255220,2229959,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
2508000,0.004526708119376585,0.49015456277789543,0.004178360963459647,0.0029121611652949673,2.805183585313175,2.0,2.236081287326526,/tmp/nxf.XXXXVDqH0S/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_000156195.1 Bacteroides finegoldii DSM 17565 strain=DSM 17565, ASM15619v1",c6b25015f23efa66f969bb8db0161cd8,0.5310184204954478,2315000,10,229487000,ERR321521_2.fastq.gz,ERR321521,65d4adc4,554045000,31,DNA,1000,554045,True,0.8401949761485586,0.9797890179247066,0.9099919970366326,0.9797890179247066,False,6494,261714,2229959,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii
