intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
4368000,0.016076614194384227,0.7927404718693285,0.016076614194384227,0.04619844293523273,6.38507326007326,6.0,7.034880176463353,/tmp/nxf.XXXXTaUrEr/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",f906f0ea3324bc6db880a742f3f0b0ba,0.7927404718693285,4368000,0,168368000,ERR321470_2.fastq.gz,ERR321470,72a117b5,271699000,31,DNA,1000,271699,True,0.8752564287663488,0.9925357586365721,0.9338960937014604,0.9925357586365721,False,27890,27890,603700,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
3930000,0.0144645361226946,0.1037512126765118,0.014170092639280969,0.019647175749544474,3.080779220779221,2.0,5.950878526484205,/tmp/nxf.XXXXTaUrEr/sourmash_database/genbank-2022.03-protozoa-k31.zip,"GCA_002893375.1 Cyclospora cayetanensis strain=CDC:HCVA02:15, ASM289337v1",36afcda97fb9363bad092574480b3d01,0.10590708203082894,3850000,1,164518000,ERR321470_2.fastq.gz,ERR321470,72a117b5,271699000,31,DNA,1000,271699,True,0.8722781306950176,0.9301349595106645,0.901206545102841,0.9301349595106645,False,11861,39751,603700,Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Cyclospora;Cyclospora cayetanensis
3221000,0.0118550307509413,0.48637125019034566,0.011755656075289198,0.010392579095577274,1.9643080776455855,2.0,3.6948377025732517,/tmp/nxf.XXXXTaUrEr/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",60210be30b063414acf935ddf123a997,0.4904827166133699,3194000,2,161324000,ERR321470_2.fastq.gz,ERR321470,72a117b5,271699000,31,DNA,1000,271699,True,0.866698068171202,0.9772824946298603,0.9219902814005312,0.9772824946298603,False,6274,46025,603700,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
2332000,0.00858302754150733,0.7531625040544924,0.008546222106080626,0.02347523604439291,6.103359173126615,6.0,4.139325998723445,/tmp/nxf.XXXXTaUrEr/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_001404675.1 Coprococcus eutactus strain=2789STDY5834963, 14207_7#86",2f02bbf17e3ba9ba81a105840505bb1c,0.7564060979565358,2322000,3,159002000,ERR321470_2.fastq.gz,ERR321470,72a117b5,271699000,31,DNA,1000,271699,True,0.857715467877792,0.9910347240911372,0.9243750959844645,0.9910347240911372,False,14172,60197,603700,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A
2409000,0.00886642939429295,0.6852017937219731,0.008435805799800515,0.020541659764783834,5.410558464223386,5.0,4.6886789726277955,/tmp/nxf.XXXXTaUrEr/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_001406815.1 Roseburia faecis strain=M72, M72",2761b9bfb8ee41b7d2e36ef75953884e,0.7201793721973094,2292000,4,156710000,ERR321470_2.fastq.gz,ERR321470,72a117b5,271699000,31,DNA,1000,271699,True,0.8586147543833746,0.9894669947302948,0.9240408745568347,0.9894669947302948,False,12401,72598,603700,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis
2244000,0.008259139709752335,0.8268733850129198,0.008244417535581654,0.11889183369223125,32.042410714285715,32.0,11.336078840329707,/tmp/nxf.XXXXTaUrEr/sourmash_database/gtdb-rs214-reps.k31.zip,"GCA_944321825.1 Candidatus Amulumruptor caecigallinarius, BRZ_DV__bin70",984b8cbaa0e9480931aae21608fd4e63,0.8283499446290143,2240000,5,154470000,ERR321470_2.fastq.gz,ERR321470,72a117b5,271699000,31,DNA,1000,271699,True,0.8566518335939363,0.9939435894281617,0.925297711511049,0.9939435894281617,False,71775,144373,603700,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Amulumruptor;s__Amulumruptor caecigallinarius
2162000,0.007957335139253365,0.4412307692307692,0.007916849160283991,0.00674341560377671,1.892608089260809,1.0,1.9486900878283324,/tmp/nxf.XXXXTaUrEr/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",5feebdfe795727335c87e462e7a7cc14,0.4434871794871795,2151000,6,152319000,ERR321470_2.fastq.gz,ERR321470,72a117b5,271699000,31,DNA,1000,271699,True,0.8556237429068371,0.9741123888123326,0.9148680658595849,0.9741123888123326,False,4071,148444,603700,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
2024000,0.007449420130364853,0.6609657947686117,0.007254351322603322,0.014170945834023521,4.340436326737697,4.0,3.7615755537749718,/tmp/nxf.XXXXTaUrEr/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_009680455.1 Lachnospira eligens strain=BIOML-A1, ASM968045v1",202b4a96ab763ae8b9d9aa34459e999a,0.6787391012743126,1971000,7,150348000,ERR321470_2.fastq.gz,ERR321470,72a117b5,271699000,31,DNA,1000,271699,True,0.8538051878129721,0.9875772122507521,0.9206912000318621,0.9875772122507521,False,8555,156999,603700,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A
3530000,0.012992318705626447,0.3788,0.006970949469817703,0.008098393241676329,2.5813093980992607,2.0,2.006980736112868,/tmp/nxf.XXXXTaUrEr/sourmash_database/gtdb-rs214-reps.k31.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",960cc77fc7b96d595712107aaa1524b5,0.706,1894000,8,148454000,ERR321470_2.fastq.gz,ERR321470,72a117b5,271699000,31,DNA,1000,271699,True,0.8692629767647138,0.9888325007682058,0.9290477387664597,0.9888325007682058,False,4889,161888,603700,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
1940000,0.00714025447278054,0.6918798665183538,0.006867894250622932,0.008312075534205732,2.6891747052518755,2.0,1.8435195917101992,/tmp/nxf.XXXXTaUrEr/sourmash_database/gtdb-rs214-reps.k31.zip,"GCA_900112995.1 Lactobacillus rogosae strain=ATCC 27753, IMG-taxon 2597490368 annotated assembly",c122ecbf66d016ce29333bc145978b5a,0.7193177604746014,1866000,9,146588000,ERR321470_2.fastq.gz,ERR321470,72a117b5,271699000,31,DNA,1000,271699,True,0.8526385370531862,0.9894287860466703,0.9210336615499282,0.9894287860466703,False,5018,166906,603700,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae
